"","MM001.1","MM001.2","MM001.3","MM001.4","MM002.1","MM002.2","MM003.1","MM003.2","MM004.1","MM004.2","MM005.1","MM005.2","MM005.3","MM006.1","MM006.2","MM007","MM008.1","MM008.2","MM008.3","MM009.1","MM009.2","MM010","MM011","MM012.1","MM012.2","MM013.1","MM013.2","MM013.3","MM014","MM015.1","MM015.2","MM016.1","MM016.2","MM016.3","MM017","MM018","MM019.1","MM019.2","MM019.3","MM020.1","MM020.2","MM020.3","MM021.1","MM021.2","MM021.3","MM021.4","MM022.1","MM022.2","MM022.3","MM023.1","MM023.2","MM024.1","MM024.2","MM024.3","MM025","MM026.1","MM026.2","MM027.1","MM027.2","MM027.3","MM028.1","MM028.2","MM029.1","MM029.2","MM029.3","MM030.1","MM030.2","MM031","MM032.1","MM032.2","MM032.3","MM032.4","MM033.1","MM033.2","MM033.3","MM033.4","MM034.1","MM034.2","MM034.3","MM035.1","MM035.2","MM036","MM037.1","MM037.2","MM038","MM039","MM040.1","MM040.2","MM041.1","MM041.2","MM042.1","MM042.2","MM043.1","MM043.2","MM044.1","MM044.2","MM045.1","MM045.2","MM046.1","MM046.2","MM046.3","MM047.1","MM047.2","MM047.3","MM048.1","MM048.2","MM049.1","MM049.2","MM050.1","MM050.2","MM050.3","MM050.4","MM051","MM052.1","MM052.2","MM053","MM054.1","MM054.2","MM055.1","MM055.3","MM055.4","MM055.5","MM055.6","MM055.7","MM056.1","MM056.2","MM057.1","MM057.10","MM057.11","MM057.12","MM057.2","MM057.3","MM057.4","MM057.5","MM057.6","MM057.7","MM057.8","MM057.9","MM058.1","MM058.2","MM059.1","MM059.2","MM060.1","MM060.2","MM061","MM062.1","MM062.2","MM063","MM064.1","MM064.2","MM065","MM066","MM068.1","MM068.2","MM069","MM070.1","MM070.2","MM070.3","MM071.2","MM071.3","MM072.1","MM072.2","MM074.1","MM074.2","MM075.1","MM075.2","MM077","MM078","MM079.1","MM079.2","MM080","MM081","MM082","MM083.1","MM083.2","MM083.3","MM083.4","MM083.5","MM084","MM085.1","MM085.2","MM086.2","MM086.3","MM086.5","MM086.6","MM087.1","MM087.2","MM088","MM089.1","MM089.2","MM090.1","MM090.2","MM090.3","MM091.1","MM091.2","MM091.3","MM091.4","MM092","MM093","MM094.1","MM094.2","MM096","MM098.1","MM098.10","MM098.11","MM098.12","MM098.13","MM098.14","MM098.15","MM098.2","MM098.3","MM098.4","MM098.5","MM098.6","MM098.7","MM098.8","MM098.9","MM099.1","MM099.2","MM099.3","MM099.4","MM100.1","MM100.2","MM101.1","MM101.2","MM103.1","MM103.2","MM103.3","MM104"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0,0.02609,0.95054,1.63766,0,0.02512,0,0.4311,0,0.00905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09046,0,0,0,0.01419,0,0,0,0,0,0,0,0,0.02066,0.1539,0.00979,19.20506,0.06382,0,0,0,0,0,0.01145,0,0,0,0,0,0,0,0,0,0,0,0.02178,0,0,0.09153,0,0,0,0,0.04602,0.04814,0.37234,0,0,0.05777,0.46653,0.21835,1.96329,0,2.86263,0,0,0,0,0,0,0,0,0,0,0,0,0.9907,0.03976,0,0,0,0,0,0.6697,0,0,0,1.04645,0,0.72888,0,0,1.92202,0.06366,0,0,0,0.07823,0,0,0.00242,0,0.00931,0,2.28599,19.14525,3.83572,0.86508,1.09667,2.65525,0,0,0,0.2756,0,0,0,0,0,0,0,0,0,0,0,0,0.02017,0.09998,0,0,0.01676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53549,0.28149,0,0,0,0,0,0,0,0,0,0.09423,0,0,0,0,0,0,0.01098,0,0,0,0,0.01169,0.01257,0.04381,0,0,0,3.0653,0,0,0,0,0,0.00675,0,0,0,0,0,0,0,0,0,0,0,0,2.66756,0,0,0,0,0,0,0,0,0,0,0,0,2.40857,0.3595,0,0,0,0.02025,0,3.61947
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0,0.02279,0.06114,0.01665,0.05186,0,0,0.05095,0,0.00848,0,0.3576,0,0.35032,0,0.03045,0,0,0,0.02538,0,0.06819,0.86753,0,0.01503,0.42132,0,0,0.16497,0,0.64362,0,0.97146,7.82298,1.11932,0,0,0.31428,0,0,0,4.23148,0.35633,9.23128,0.40678,4.75796,3.03986,8.05279,0.50458,0.01426,0.06044,0.07128,0.00396,0.01846,0,0.96521,3.74994,2.62813,7.82046,0.59319,0,0,0,0.30406,0.01037,0.00935,0,0,0.32571,0.77911,10.80661,2.87866,0,0,0,0,0,4.35935,6.63755,0,0.04037,0,0,0,0,0,0,0,0,0.17442,1.67674,0.33136,0.03791,0.03584,0.6355,0,0,0,0,0,0,0,0.45799,2.96469,0,0,0.42216,0.54268,0,0,2.94796,0.01182,8.86818,0.14231,0,0,0.02808,0,0,0,0.05658,0,0,0,0,0,0,0.07314,0.05183,0,0,0,0,0,0,0.02675,0.05483,0,0.04991,0.01512,9.68165,2.47324,0.24598,18.30028,0,0,2.01406,0.01182,0,0.0831,0,0,4.91444,0.9819,0.1623,0,0,0,3.92335,1.86765,0,0,1.53656,0.00285,0,0.03911,0,0.00096,0.03272,0,0,0.00445,2.5024,0.02901,0,0,0.07359,0,2.30166,0.95096,0,0,0,0,0,0.26738,0.96032,0,0,0,2.35487,0.94213,5.02793,0,0,0.01627,0,1.91227,32.21317,0.022,0.15873,0,0.68667,0,0,0.01415,0,0,0,0,1.81201,4.97853,0,0,0,0.0449,0,0.23684,0.1861,0,0,0.27703,13.2217,0.16268,0,0.01234,1.45857,0.41936,0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra",0,0.02265,0,0.03233,0,0,0,0,0,0.00386,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0,0,0.01355,0.06403,0,0,0,0,0,0,0,0,0,0,0,0.00173,0,0,0,0,0,0,0,0,0.01312,0,0.01198,2.47822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0,0.33985,0.59079,0.02245,0,0,0,0,0,0,0,0,0,0.22777,0,0,0.08988,0,0,0,0,0,0,0,0.00224,0,0,0.55407,0.13901,0,0,0,0,0,0,0,0,0,0,0,0.00486,0.01808,0.05622,0,0,0,0.36034,0.99565,1.28846,0,0,0,0,0,0,0,0,0,0,0.02134,0,0,0,0,0,0,0,0,0,0,8.68499,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0579,0.02092,0.04544,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens",0,0.01954,0,0,0,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02762,0,0,0,0,0,0,0,0,0.19902,0,0,0,0,0,0,0.02619,0.05474,0.3037,0.15449,0.05098,0,0.02304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0,0,0,0,1.92201,0,0,0,0,0,0.03862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0,0,0.01024,0,0,0,0,0,0.01384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii",0,0.01767,0,0.04338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22256,0.06367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08312,0.3548,0,0,0,0.00349,0.00533,0,0,0,0,0.00248,0.09058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02679,0.05923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591,0,0,0,0,0,0,0,0.02527,0.01185,0.67604,0.00211,0.06778,0,0.04074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0.01544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis",0,0.01691,0.46457,3.13753,32.8746,28.82997,0.25387,0.04606,0.01816,0.35658,1.50297,3.04671,35.75922,0,1.49431,1.04196,1.20531,0,0.14782,44.61368,3.51939,0.71306,50.98865,0.07596,0.32867,1.02106,1.06222,0.23261,9.3472,0.4695,0.0183,1.03461,4.41453,0,0.67717,0.48145,0,0.06156,0.05749,3.44053,3.29346,1.99156,8.52674,0.40334,0,0.04538,1.00382,0.31477,0.0312,9.66869,22.83897,0.32096,0,0.05493,6.00694,0,0.85905,8.36131,0.8512,3.84535,0.18809,0.185,2.27407,0.97846,1.55074,2.46157,0,0,8.08157,0.0968,0,0.08263,0.61435,0.65578,4.48368,0,1.31093,0,2.77168,0.06914,0.03179,0,0.03591,0.10794,3.67989,26.94769,0,0,10.60271,8.52756,0.74432,1.32906,3.95428,6.61816,6.90868,1.52413,0.27332,0.19557,0,0,0,0,0,1.15425,0.33948,1.41873,0.06333,0.03623,2.99915,0,4.69249,1.03473,0.03213,12.22825,4.04076,18.08876,0.11546,0,0.03874,0,0.12228,0,0,0,0,0,4.24114,0.09271,0,1.23915,1.94475,0,0,0,0,0.05961,0,0,47.41268,0.37308,2.69984,0.01561,0.10463,0,7.72179,0.76247,0.09954,0.23158,6.63697,0.29371,0,0,0,0,0.21316,0.06654,0,1.13007,0,0,2.83099,2.71025,37.70499,0.53832,2.75608,0.05578,9.1336,0,0.11875,0.4953,0.02225,0,0.91472,2.54093,4.90175,0.10024,0.1399,0.07755,0.01128,0.13627,0.02169,0.77231,0.27428,3.15453,10.40221,0.24113,0.01105,21.20315,0.86849,2.42299,0.12822,0,1.44599,0.35088,0.00776,0.1332,0.00936,85.52874,0.12815,17.171,0.48052,19.3548,0,0.02565,0,0,0,0.02041,0.25319,0,0.01395,19.3284,0.25797,0,0.14837,0.57797,0,1.03273,0,0,0,0,0,0,0,0.12324,0.10312,0.53254,1.0242
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus",0,0.0168,0.17314,0,0,0,0,0.01223,0,0.00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433,0.00672,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0.03262,0,0,0,0,0.01949,0,0.01765,0,0,0,0,0.71457,0,0.45253,0,0,0,0.02607,0,0,0,0,0.03347,0,0,0,0,0,0,0.03566,0,0,0,0,0,0,0,0,0.12297,0.16532,0,0,4.3864,2.47954,0.25154,0.03464,0,0,0.09882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17216,0,0,0,0.10884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09196,0,1.04979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09814,0,0,0.53636,0.14852,2.26446,1.07722,0.00792,0,0,0,0,0.82688,0.97675,0.43032,0.1904,0,0.00166,0,0.01224,0,0.19229,0.20431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07079
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus",0,0.01162,0.23248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10016,0.71912,0,0,0,0,0,0,0.10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844,0,0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_harei",0,0.01148,0.01028,0,0.0592,0,2.07978,2.36256,0.90019,2.78104,0.14597,0.12641,0.33824,0.27335,0,0,0.33823,0,0,0.03143,0,0,0.81863,0.09545,0.01845,0.02453,0,0,0.24402,0,0,0.01699,0.10199,0,0.86763,0,0.11836,0.13139,0,0.27334,0.14778,0.06718,0.00157,0,0,0,0.53733,0.00836,0,0,0,0.04849,0,0.01832,0,0.39157,0.03229,0.00291,0,0.08611,0,0.04313,0,0,0,0.50537,0.03353,0,0.00132,0,0,0.02619,0.30894,1.65038,0.74529,0,0.4275,0,2.15514,0,0.20285,0,0,1.2553,0.0029,0.08235,0.06863,0,0,0.0281,0,0,0.50574,1.09488,0,0,0.11547,0.09438,1.34126,0,0,0,5.6943,0.01935,0.69733,0,0,0,0.31516,0,0.14872,0.00255,0,0.00515,2.05228,0.52079,0.29502,0,0,0,0.16219,0,0,0,5.58548,2.08729,0,0,0,0,0.09801,0,0,0,0,0,0,0,0.16039,0,0,0.02135,0.29599,0.18388,0,0,0.54473,0,1.38802,0.01272,0,0,0,0.02333,0.00669,0,0,0,0.5584,0,0.68559,3.93485,0.73241,0,0,0.0296,1.29581,0,0.07039,0.03192,1.36081,0.00868,0,0.0708,1.4011,0.23068,0,0.00095,0,0.61508,0.41929,0.37431,4.8304,0.51495,3.31514,0.07684,0,0.01785,0.31968,0.03835,0,0.05789,0,0.71825,0,0.63682,0,1.82608,0.0338,0.1418,0.01104,0.11623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54231,0,0.16714,0,0.01926,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",0,0.01034,0.05047,1.28346,0,0,0,0.11046,0,0.01189,0.42152,0,0,0,0,0,0.45812,0,0.03201,0.09005,0,0,0.0152,0,0.53373,1.81976,0,0.6468,0.00607,2.52902,0.96895,0,0,0,0.00325,0,0,0.01595,14.83569,0,0.12785,0,0.01883,0,0,0,0.02083,2.50523,0.01813,0,0,0,0.07228,6.63342,0,0,0.01282,1.56544,1.5789,0.65074,0.51462,0,0,0.18197,0.03915,0.03213,0.60735,0,0.02451,0.64225,0,0,0.97467,1.25481,0.2893,0.27672,0,0,0,0.03105,0.31787,0,0.08073,0,0.18829,0,0,0,0.42449,0.1474,0.02776,0.11635,0.04643,0.28887,0,0,0,0,0,0,0,0,0,0.20885,0.78925,0.0477,2.78151,0.0476,0,0.81503,0.70116,0.98179,0.19051,0,0,0,0,2.99246,0,0,0,0,0,0,0,0.10337,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0.58941,0,0.03434,0,0,0.20167,0.0382,0.04412,0,0,0,0.2964,0,0.23577,0.0632,0,2.26014,0,0,0,0,0.37491,0.69587,0.38578,0,0,0,0,0,0,0,0,0,0,0.07225,2.39222,2.31881,0,0.19932,0,0.17503,7.11623,0,0,0,0,0.05898,0,0.04131,0,0,0,0.19674,0,0,0,0.00828,0,0,0,0,0,0.20117,0,0,0,0.00933,0,0.22389,0,0,0,0,0,0,0,0,0,0.08836,0,0,0,3.15175,1.13448,0,0,0,0.09521,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_asaccharolytica",0,0.00974,0.0101,0.02626,0.03262,0.00388,0,0.01461,0,0.0431,0.10826,0.02013,0.0412,0,0,0,0,0,0,0.01103,0,0,0.08684,0,0,0,0,0,0,0.07939,0,0,0,0,0.10888,0,0,0,0,0.03094,0,0.00584,0.00354,0,0,0,0.0053,0.00183,0,0.00605,0.03646,0,0,0,0,0,0,0.00221,0,0,0,0,0,0,0,0.00171,0,0,0.02552,0,0,0.00633,0,0,0.04195,0,0.04128,0,0,0,0,0,0,0,0,0,0,0,0,0.01137,0,0,0.00831,0,0,0,0,0,0,0,0,0,0.02466,0.0177,0,0.00283,0.00506,0,0,0,0.01416,0,0,0.00462,0.01546,0,0,0,0,0,0.00917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263,0,0,0,0,0,0.00524,0,0,0,0.07441,0,0,0,0,0,0.08221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04805,0.01561,0,0,0,0,0,0,0,0.01229,0,0,0.07123,0,0,0,0.00154,0.01997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02505,0,0,0
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83",0,0.00624,0.00113,0.00399,0,0.00708,0,0,0,0.00125,0.55282,0,0.04559,0,0,0,0.09597,0.20704,0.09702,0.21488,0,0.03224,0.01526,0.02408,0.33053,2.04465,0,0.12881,0.03236,0.70528,0.19453,0.03422,0.11278,0.03373,0.00308,0,0,0.06867,0.70061,0,0.07367,0.02664,0,0.72901,0,1.27102,0.62531,0.02811,0.08268,0,0.03051,0,0.24225,0.05586,0,0.14549,0.07331,0.62549,1.12251,0.09691,0,0,0,0.94955,0.00723,0.13936,0.26481,0,0.04813,0.26438,0,0.01682,0.67355,1.07363,0.1709,1.0651,0,4.54636,0,0.1896,0,0,0.8705,0,0.77948,0,0.7029,0,0,0.04369,0.02484,0,0.58848,0.58047,0,0,0,0,0,0,0,0,0,0,0.16371,0.01463,0,0,0,6.14371,0,0.06921,0.00915,0,0,0,0.03697,0,7.58235,0.09244,4.54371,0,0,0.02019,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0,0.58961,0.05445,0,0.11674,0,0,0.01871,0,0,1.09551,0.65768,0.46969,0.06262,0,2.18279,0.5611,0,13.61893,4.46279,0,0,0,0,0.04521,0,0,0,0.02443,0,0,5.19384,1.26801,0,0,0,0.55187,0,0.06108,0,0.08352,1.14468,0,0.24309,0,0,0.45727,0.68054,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,1.3491,0,0.50285,0.30679,0,0,0,0,0,0.02207,0,0,0,0,0,0,0,0,0,0.36044,0,0.04379,0,0.1074,0.01741,0,0,0.38627,0.31932,0.04533,0.01278
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense",0,0.00552,0.07632,0.03251,0.00275,0.01522,0.09626,0.00863,0,0.00698,0,0,0,0,0,0,0.02692,0,0.00893,0.02417,0,0,0.24425,0,0,0,0,0,0.10491,0.012,0,0.07115,0,0,0.05299,0,0,0,0,0.11997,0,0.01974,0.15718,0,0.00657,0,0.02783,0,0,0,0.0052,0,0,0,0,0,0.0112,0.04572,0.00577,0.17712,0,0,0,0,0,0.01261,0,0,0.01178,0,0,0,0,0,0,0,0.16681,0,0,0.28292,0,0,0,0,0.09219,0.1429,0,0,0.09617,0.07883,0,0,0.01323,0.07882,0,0,0,0,0,0,0,0,0,0,0,0,0.24532,0.01148,0,0,0.07419,0.0413,0,0,0,0,0,0,0,0,0,0,0,0,0.01876,0.10242,0,0,0,0.00182,0,0,0,0,0,0,0,0,0.02735,0,0,0,0.24223,0.02734,0.14256,0,0.01396,0,0.08805,0,0,0,0,0,0,0,0,0,0,0,0,0.41801,0.44472,0,0,0,2.23266,0,0.00382,0,0.01751,0,0,0.09326,1.36287,0.0838,0,0.02081,0,0.31473,0,0,0.01707,0.0254,0.01697,0,0,0.025,0.00845,0,0.81226,0,0,0,0,0,0,1.33427,0,1.49718,0,0.07492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15243,0,0,0,0,0,0,0,1.56158,0.24611,0.36745,0.01769
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae",0,0.00537,0.1301,0.04078,0,0,0,0,0,0,0,0,0,0,0,0,0.02136,0.04654,0.32986,0.1088,0.01381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19411,0,0.00066,0,0,0,0,0,0,0.00297,0,0,0,0,0,0,0,0,0.41319,0,0,0,0.15565,0,0,0,0,0,0,0,0,0,0,0,0.99098,0,0.01746,0.20133,0,0,0,0,0,0.76895,2.95045,0.35665,0.35367,0.2299,3.94,0,0,0,0.00047,0,0.00526,0,0,0,0,0,0,0,0,0,0,0,0.21665,0,0,0,0,0.01527,0,0,0,1.2169,0,0,0,0,0.81653,17.64417,12.79403,0,0,0,0,0.17343,0,0,0,0,0,0.00681,0.03851,0,0,0,0,0,0,0,0,0,0.44311,0.05794,0,0,0.02999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629,0,0,0,0.00186,0,0.50664,0,0,0,0,0,0.08994,0,0,0,0,0,0,0,0.00408,0.99894,0.49457,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes",0,0.00304,0.08185,1.06283,0,0.05079,0.16269,0,0,0.00126,1.48975,0,0,0.31571,0,0,0.05339,0.02556,0.01508,0.11283,0,0,0,0.02804,0,0.62595,0,0.18291,0,0,0.62837,0,0.00945,0,0.02101,0,0,0.00261,0.01838,0,0,0,0.01241,0,0.01676,0.06462,0.03455,0.18205,1.33432,0,0,0,0.38209,0,0,0,0,0.14194,0,0,0,0,0,0,0,0.0112,0,0,0.01687,0.88533,0,0,0.42278,0.1629,0,0,0,0,0,0.112,0,0,0.3458,0,0.01951,0,0.22698,0,0,0,0.07231,0,0,0.0087,0,0,0,0,0,0,0,0,0,0,0.65242,0,0,0,0,0,0,0.14017,1.56704,0,0,0,0,0,0,0,0.01091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01916,0.12289,0.03516,0,0.02067,0.88536,0,0,0.09937,0.11364,0,0.00892,0,0,0,0,0,0.26333,0,0,0,0,0,0,0,0,0.02051,0,0,0,0,0,0,0,0.13157,0.28551,0,0,0,0,0,0,0,0,0,0,0.07267,1.09572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19125,0,0,0,0,0,0,0,0.04423,0,0.46781,0,0,0,0.09915,0,0,0,0,0,0,1.31149
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_duerdenii",0,0.00223,0.01781,0.09884,0,0,0,0.00493,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.0218,0.04007,0,0,0,0,0,0,0,0,0,0,0,0.34799,0,0,0,0,0.39115,0.26261,0.0192,0,0,0,0,0.00998,0,0,0,0,0,0,0,0,0,0,0,0,0.01141,0,0,0.06799,0,0.0504,0,0,0,0,0,0,0,0.01455,0,0.03777,0,1.47485,0,0,0,0,0,0,0,0.00704,0,0,0,0.03035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16008,0.00233,0,0,0,0,0,0,0,0,0,0.69772,0.10364,0,0,0,0,0,0,0,0.02165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32022,0,0,0,0,0,0,0,0,0.19743,0,0,0,0.06509,0,0,0,0.2806,0,0,0,0,0,0,2.97733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0.04548,0,0,0,0.11237,0,0,0,0,0,0,0.03875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59",0,0.00141,0.00727,0,0,0.0243,0,0,0,0,0,0.2093,0.12552,0,0.43976,0,0.00508,0,0,0,0,0,0,0,0.91048,0,0,0,0,0,0,0,0,0.17384,0,0,0,0.00226,0.03799,0,0,0.0332,0,0.03797,0.04473,0,0,0.01833,0,0,0,0,0,1.03109,0,0,0.02646,0,0,0,0,0,0.09936,0,0,0.01601,0,0,0,0,0,0.0217,0,0.03392,0,0,0,0.03186,0,0,0.08785,0,0,0.54312,0.0042,0,0.15377,0,0.0196,0,1.75861,2.10842,0,0.02467,0,0,0,0,0,0,0,0,0,0,0,0.14184,0,0.0026,0,0,0,0,0,0,0,0,0,13.71226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0.00549,0,0,0,0.00154,0.26719,0,0,0,0.34067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686,0,0,0,0,0,0,0,0,0.0945,0.11142,0,0,0,0,0,0,0,0,0.68364,0.05418,0,0,0,0,0,0,0,0,0.9621,0,0,0,0,0,0,0,10.38292,0,0,0,0,0,0,0,0.29375,0.04721,0.08821
