"","p8582_mo1","p8582_mo10","p8582_mo11","p8582_mo12","p8582_mo2","p8582_mo3","p8582_mo4","p8582_mo5","p8582_mo6","p8582_mo7","p8582_mo8","p8582_mo9","p8585_mo1","p8585_mo2","p8585_mo3","p8585_mo4","p8585_mo6","p8585_mo7","p8585_mo8","p8585_mo9","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8600_mo8","p8600_mo9","p8646_mo1","p8646_mo10","p8646_mo11","p8646_mo12","p8646_mo2","p8646_mo3","p8646_mo4","p8646_mo5","p8646_mo6","p8646_mo7","p8646_mo8","p8646_mo9","p8649_mo1","p8649_mo10","p8649_mo11","p8649_mo12","p8649_mo2","p8649_mo3","p8649_mo4","p8649_mo5","p8649_mo6","p8649_mo7","p8649_mo8","p8649_mo9","p8712_mo1","p8712_mo10","p8712_mo11","p8712_mo12","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8748_mo10","p8748_mo11","p8748_mo12","p8748_mo4","p8748_mo5","p8748_mo6","p8748_mo7","p8748_mo8","p8748_mo9","p8775_mo1","p8775_mo10","p8775_mo11","p8775_mo12","p8775_mo2","p8775_mo3","p8775_mo4","p8775_mo5","p8775_mo6","p8775_mo7","p8775_mo8","p8775_mo9","p8808_mo10","p8808_mo11","p8808_mo12","p8808_mo4","p8808_mo5","p8808_mo6","p8808_mo7","p8808_mo8","p8808_mo9","p8816_mo1","p8816_mo10","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo8","p8816_mo9","p8855_mo10","p8855_mo11","p8855_mo12","p8855_mo3","p8855_mo4","p8855_mo8","p8855_mo9","p8883_mo10","p8883_mo11","p8883_mo12","p8883_mo2","p8883_mo3","p8883_mo4","p8883_mo6","p8883_mo7","p8883_mo8","p8883_mo9","p9061_mo1","p9061_mo2","p9061_mo3","p9061_mo4","p9061_mo5","p9061_mo6","p9061_mo7","p9061_mo8","p9193_mo1","p9193_mo2","p9193_mo4","p9193_mo5","p9193_mo6","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p9220_mo1","p9220_mo2","p9220_mo3","p9220_mo4","p9220_mo5","p9220_mo6","p9220_mo7","p9223_mo1","p9223_mo2","p9223_mo3","p9223_mo4","p9223_mo5","p9223_mo6","p9223_mo7","p9223_mo8","p9281_mo1","p9281_mo2","p9281_mo3","p9281_mo4","p9281_mo5","p9281_mo6","SKST006_1_G102959","SKST006_10_G102994","SKST006_2_G102960","SKST006_3_G102961","SKST006_4_G102962","SKST006_5_G102963","SKST006_6_G102964","SKST006_7_G102965","SKST006_9_G103014","SKST007_1_G102966","SKST007_2_G102967","SKST007_3_G102949","SKST007_4_G102948","SKST007_6_G102995","SKST007_7_G103016","SKST007_8_G102999","SKST010_1_G102968","SKST010_2_G102969","SKST010_3_G102970","SKST010_4_G102956","SKST010_5_G102990","SKST010_6_G103004","SKST010_7_G103003","SKST010_8_G102998","SKST011_1_G102971","SKST011_2_G102972","SKST011_3_G102973","SKST011_4_G102952","SKST011_5_G102993","SKST011_6_G103002","SKST011_7_G103017","SKST011_8_G103000","SKST012_1_G102974","SKST012_2_G102975","SKST012_3_G102950","SKST012_4_G102954","SKST012_5_G102992","SKST012_6_G102997","SKST014_1_G102976","SKST014_2_G102977","SKST014_3_G102978","SKST014_4_G102979","SKST014_5_G102980","SKST014_6_G102951","SKST014_7_G102940","SKST023_1_G102981","SKST023_2_G102987","SKST023_3_G102941","SKST023_4_G102937","SKST023_5_G103007","SKST023_6_G103009","SKST023_7_G103015","SKST024_1_G102982","SKST024_2_G102953","SKST024_3_G102944","SKST024_4_G102938","SKST024_5_G103001","SKST024_6_G103012","SKST024_7_G103022","SKST024_8_G103031","SKST025_1_G102983","SKST025_2_G102986","SKST025_3_G102942","SKST025_4_G102939","SKST025_5_G103006","SKST025_6_G103010","SKST025_9_G103021","SKST027_1_G102984","SKST027_10_G102936","SKST027_11_G102996","SKST027_12_G103011","SKST027_2_G102985","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST032_1_G102943","SKST032_2_G102946","SKST032_3_G102989","SKST032_4_G103008","SKST032_5_G103024","SKST036_1_G103013","SKST036_2_G103020","SKST036_3_G103025","SKST037_2_G103023","SKST037_3_G103026","SKST041_1_G103005","SKST041_2_G103027","SKST041_3_G103028"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans",4.06715,0.67982,0.43565,0.65583,5.96654,6.09185,0.30062,5.33665,10.09874,4.46012,4.93131,0.86762,0,0,0.00723,0,0.60695,1.20519,1.62182,1.77468,1.73326,0.25785,0.4163,0,2.3841,0.64662,0.82104,0.54909,1.64167,0.5996,0.2939,0.64371,15.69868,6.12066,4.86936,8.27987,15.00565,28.7775,4.29218,8.8459,4.42387,8.52865,8.43002,5.29341,2.17151,0.29231,0,2.11706,3.56275,2.97229,2.20688,0.00411,2.82963,0.08262,0.44561,0.36533,4.33513,1.54379,1.35313,2.05134,0,0.00214,0.00292,0,0,0,0,0.03253,7.34477,7.67686,4.68086,1.29382,7.63462,9.02188,2.87092,6.92011,7.87838,1.12498,1.19545,3.0041,2.3965,2.08875,2.98356,3.71069,2.7024,3.7972,3.27725,5.34375,3.62284,6.53839,0,0,5.71303,17.53243,15.13218,12.74341,11.4602,8.72829,3.80218,0,0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57196,0.32833,0.29089,0,0,0,0,0,0,0,0.48142,0.45131,1.0164,1.37308,2.02181,1.38776,1.16042,1.64092,2.20358,0.11585,1.13673,0.48616,1.70786,0.66642,1.46796,0,1.49973,2.40827,2.4313,1.45818,1.07422,3.03503,1.90813,1.84865,1.79739,3.06137,2.81397,3.94574,2.00393,1.04919,1.66226,2.17941,1.29323,1.72777,2.06331,1.89944,1.70451,2.02329,2.22956,1.62458,3.33629,2.62179,4.37,0,0,0,0,0,0,0,0,0,0.30554,0.08732,0.06461,0.2454,0.50914,0.10492,0.05057,1.16813,0.16962,3.87225,1.7852,0.64292,0.66983,0.91121,0.85069,0.37757,0.55645,4.76656,0.91538,0.92695,0.49541,0.78083,0.04399,1.5646,2.21108,2.24731,1.32205,0.67957,0.78797,0,0,0,0,0,2.33271,8.83767,0.47293,0.02913,11.36385,9.32845,0.04188,12.22427,3.25615,0.06583,3.71667,6.65856,0.61978,0.02251,3.23228,3.94079,1.87953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06182,0,0,0.04234,0.09369,0.04864,0.20866,1.95075,0.57784,0.70308,0,4.57453,0.08756,0.08991
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus",2.9334,0.80241,1.00319,1.06964,2.60779,3.78829,1.14781,2.42171,3.91714,1.4811,1.67402,0.88126,7.04066,0.85486,0.82269,6.28978,0.19304,0.16208,0.18924,0,6.96956,0.38592,0.5378,0.52006,5.90468,12.4787,0.61003,2.2288,4.06553,0.31474,1.06089,1.33892,1.31522,0.68336,0.34632,0.46476,1.88846,0.5936,0.80936,0.37326,0.25946,0.69833,0.18227,0.21971,0.21068,0.03867,2.2927,0.13036,0.02665,0.19453,0.15819,0.0498,0.07321,0.03729,0.47014,0.05951,0.77506,0.11784,0.02261,0.17003,0.66486,0.30147,0.92371,0.63711,0.29393,0.10252,0.09479,0.23873,0,0,0.00055,0,0.01574,0,0,0.01349,0,2.18348,8e-04,0,0,0.01911,0.00373,0,0,0,0.0048,0,0,5.13754,27.58729,8.25941,4.04237,4.47712,9.74274,2.97502,2.01408,2.95643,0.012,0,0,0,0.01704,0,0,0,0,0,0,0,3.99937,5.33807,5.66587,0,17.82833,0.82617,21.8624,0,0.02573,0,0,0.0391,0,0,0.00526,0.02378,0,0,0.00599,0.00124,0,0,0,0,0.00034,0.02739,0.18123,0.19765,0.17138,0.22205,0,0.23143,0,0.06006,0.48814,2.06018,1.78517,0.52223,1.12767,0,0,0,0.01271,0.00159,0.00734,0.00632,0,0,0,0,0,0,0,0,0,0.06301,0,0,0.01486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31818,0.00194,0.37877,0.0192,0.19442,0,0.63416,0.52571,0.03883,0,0.00388,0,0.03699,0.0179,0.00858,0.07051,0.31294,0.31933,0.0191,1.69821,0,0.03863,0,0.20204,0.68919,0,3.36262,0.14618,0.61904,0,0,0.1237,0,0,0.0951,0,0,0.21687,1.48206,0.13937,0,1.90301,0,0.7405,1.75129,11.02258,5.60369,9.011,0.40678,7.31183,0.03735,0.20641,17.34743,16.44864,0,1.86438,0,0,0,0,5.0358,0.00723,0,0,0,0.00496,0,0,0,0,0.08648,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens",2.8241,0.56056,1.11138,1.34309,2.03106,1.84246,0.08533,1.36987,3.38404,1.79242,1.10592,1.56811,0,0,0,0,0,0,0.32857,0.76138,0,0,0,0,0,0,0,0,0,0,0,0,1.14864,0.96261,1.12979,0.57533,1.30008,0.77922,0.50002,1.17541,1.05619,0.6807,0.69925,0.52529,1.29062,0.17106,0,0.38994,0.07668,0.4975,0.14319,0,0.04624,0.00145,0.00874,0.20201,0.47552,0.98514,0.60681,0.98509,0.58934,0.83773,0.86582,0,0,0,0,0,0.16804,0.03774,0.11771,0.05538,0.26529,0.26819,0,0.22741,0.06666,0.44585,0.1506,0.12555,0.3401,0.22034,0.1721,0.14263,0.18293,0.15522,0.08766,0.21117,0.40496,0,0,0,0,0,0,0,0,0,0.35342,0.41173,0.84328,0.63189,1.03587,0.98514,0.63965,0.67477,0.65825,0.88513,0.6185,0.20576,0,0,0,0,0,0,0,0.12588,0,0.30792,0,0,0,0.06359,0.38501,0.05659,0.17711,0.02932,0,0.08462,0.0644,0.07197,0.0652,0.10706,0.05411,0.83426,0.10188,0.20293,0.18279,0.38833,0.19407,0.64306,0,0.74822,0.04718,0.35625,0.29584,0.38997,0.65773,0.6738,0.3366,0.39452,0.71617,0.1168,0.02046,0.91517,0.51729,0.41177,0.40089,0.9608,0.18194,0.34381,0.37268,0.6173,0.53888,0.48987,0.73905,1.31343,0.66806,0,0,0,0,0,0,0,0,0,0,0.1865,0.04958,0.30419,0.26238,0.31539,0.24603,0.19177,0.05527,0.04237,0.01731,0.13018,0.03732,0,0.08943,0.066,0.00417,0.00442,0.06765,0.06111,0,0,0,0,0,0,0,0.00743,0.09545,0,0,0,0,0,0,0,0,0,0,0.10618,0,0,0,0.01875,0.05241,0.12664,0.51376,0.06159,0.03671,0.3393,0.07507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01404,0,0.91153,0.03674,0,1.5495,0.02429,0.02949
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",2.67607,0.62389,0.77911,0.80658,2.3378,2.32368,0.70315,3.3752,3.71544,1.61495,1.98333,0.81262,5.21113,3.17582,1.90949,10.63756,1.00721,1.2342,2.93589,2.36331,0,0,0,0,0,0,0,0,0.01807,0,0.00189,0.00139,2.03639,0,0,0,3.85035,2.95273,1.23121,1.79142,1.12296,0.00125,0,0,1.56545,0.64995,0,1.35051,1.45904,1.98062,0.76771,0,0.80535,0.83524,1.05733,0.52511,1.22189,0,0,0,1.87834,0.73334,4.35524,1.04126,0,0,0,0,0.89825,0.66791,0.76098,0.71734,1.33062,0.65987,0.92409,0.99054,1.21269,2.18851,1.00842,2.19687,0.7368,0.78968,1.36502,2.04334,1.02964,1.15296,0.74698,1.50689,1.1483,1.04328,0,0,3.10957,0.85162,3.78067,3.51701,3.25668,4.53355,2.52723,1.39165,1.18668,1.74229,1.16884,1.19621,2.02911,1.85731,3.68804,2.18166,1.65751,1.69944,0,0,0,0,0,0,0,0,0.36761,0.10354,0,0,0,0,0,0,0,1.13587,1.12979,1.26361,1.41325,1.4873,1.0811,1.51813,0.92858,0.95466,0.0113,0.32019,0.55584,0.57475,1.68687,2.97282,0,2.09931,5.52245,4.07385,2.12978,3.17943,1.39082,0.29117,0.28396,0.24947,0.57536,0.9167,2.39385,1.97158,0.84559,1.6628,1.63849,0.7856,1.70552,1.42693,0.75706,1.73947,1.29962,1.50939,1.94156,2.48715,1.66078,0,0,0,0,0,0,0,0,0,0,0.17518,0.02564,0.16857,0.08595,0.49507,0.10325,0.08643,2.72182,0.05472,1.20117,0.34308,0.54124,0.11179,0.7229,0.73472,0.75942,1.77501,0.7867,0.46982,0.2289,0.12698,0.22719,0.00297,0.92185,1.25709,0.83207,1.52657,0.66065,0.94711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64256,7.81271,7.53946,0,6.5289,0.18756,2.69572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02088,2.62145,0.10418,0.53681,0.00744,0.0136,0.01257,0,0.14406,0.20993,0,3.27311,0.04718,0.07356
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",2.3537,1.19626,1.84875,1.00131,2.54467,1.93845,0.06643,2.49509,1.55334,1.72704,1.84774,1.10119,0,0.00252,0,0.75446,1.25838,1.28672,0.58205,0.52421,0.02662,0,0.07931,0.11328,0.05725,0.04549,0.02985,0.00089,0,0.01043,0.06734,0.03045,2.51103,2.89922,2.32005,2.81282,3.32473,1.36087,0.36717,2.92959,1.87252,3.21192,0.87512,1.08754,0.31313,0.50406,0,0.42008,0.87706,1.23317,0.60086,0,0.38947,0.27391,1.08726,0.36258,0.37784,0.69579,0.60122,0.90105,0.18124,0.52211,0.72042,0.31645,2.9662,2.21025,2.38293,0.71944,0.37578,0.38738,0.16678,0.50777,0.94855,0.93062,0.26522,0.37432,0.62664,1.03122,0.73606,1.11575,0.31609,0.35288,0.94481,0.79431,0.77733,0.8124,0.23992,0.53884,0.35943,9.70013,0,0,24.7934,11.13876,5.25672,23.3215,13.15114,21.17278,0.59497,4.14708,2.02424,0.45508,1.52421,3.05347,3.97711,4.89297,4.22435,4.80804,4.99319,4.34183,0,0,0,0,0,0,0,6.18088,0.05227,0.45728,2.21487,1.12142,1.34911,1.02985,1.50903,0.73093,1.96903,0.46333,0.59603,0.64108,0.38696,0.25623,0.50542,0.43608,0.25547,2.79948,0.06494,0.51542,1.89264,0.52546,1.88922,1.40151,0,0.92433,9.21204,3.96365,3.68917,4.00828,0.94019,0.55761,0.51848,0.68378,1.13467,0.62463,3.5869,0.92379,0.16787,0.38947,0.112,0.11794,0.21461,0.16906,0.45628,0.3282,0.79709,0.25582,0.13229,0.35078,0.3067,3.96636,0,0,0,0,0,0,0,0,0,0.19224,0.06053,0.04779,0.11627,0.34607,0.0082,0,0.14851,0.00324,0.09183,0.06931,0.11879,0,0.03485,0.03676,0,0,0,0.02129,0.06959,0,0,0,0.27382,0.89638,0.22907,1.13245,0.2767,2.68479,0,0,0,0,0,0,0.32205,0,0,0.50962,0.68854,0,0.34713,0.13678,0.03262,3.74113,2.75139,4.28901,0,3.20224,0.17436,0.92252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18572,0,0,0,0,0,0,0,0,0,0.01976,0.03284,0,3.70834,0.0357,0.04738
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans",2.19885,3.22766,1.97068,10.66991,5.21571,2.56803,1.04514,9.18998,4.72042,7.57026,8.40786,3.31394,0,0,0,0,0,0,0,1.16826,0.56614,0,0,0,0,0,0,0,0,0,0,0,0.35561,2.22769,2.10465,1.03109,0.4833,1.43568,0.64221,1.47514,1.83098,1.70064,1.44231,1.83162,0,0,0,0,0,0,0,0,0,0,0,0,0.56228,0,0,0,0.34436,0.46752,0.28302,0,0,0,0,0,1.28497,0.22196,1.45923,0.13202,0.11325,2.31502,0.67828,0.28971,0.26767,0,0,0.02774,0.02331,0.24085,3.69951,5.34602,4.43782,6.51601,0.1362,0.28416,0.04004,0.58223,0,0,0,0,0,0.25183,1.09409,0.02246,3.56014,7.43346,7.04936,3.38716,1.73439,5.11515,0.4221,0.06097,0.556,6.79254,3.88021,3.02793,0,0,0,0,0,1.63683,0,2.50168,0.00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5212,0.24331,2.11192,4.036,2.5883,1.62359,0.49413,0,0.672,1.08764,0.49532,0.24081,0.42796,0.35325,2.29478,0.01493,0.58042,1.67533,0.91346,0.25381,0.03533,0.40379,0,0,0,0,0,0,0,0.24237,0.17872,3.18389,0.38692,0.01919,0,0,0,0,0,0,0,0,0,0,0,0.01623,0.11189,0.02956,0.01829,0.05815,0,0.36992,0.00235,0,0.15537,0.09163,0.60895,0.02839,0.22051,0.14007,0.03093,0.2058,0.03419,0,0,0,0,0.10596,0.17334,0.07329,0.65891,0.04209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11186,0,0.10087,0.00634,0.30828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03364,0.30227,0,1.29029,0.6909,0.53906
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",2.14742,9.50913,5.27659,2.62354,2.21165,8.2,1.06512,9.25728,5.7003,6.53212,7.68043,1.63405,0,0.00685,0.0031,0.00301,0.55237,0.00056,0,0.36334,0,0,0,0.01693,0,0.01322,0.00827,0.07096,0.13038,0.01301,0.01025,0.02195,0.00701,0,0,0,0.00547,0.00282,0.02594,0.00013,0,0.00054,0,0,0,3.6312,0,0,0,0,0,0.00769,0.00034,8.38998,9.80074,1.76446,0.01234,0,0,0,0,0,0.00244,0,0,0,0,0,0,0.01753,0.00671,0.28506,0,0,0.03847,0.01432,0,0.00255,0.10756,1.07166,0.08507,0.00129,0,2.37741,4.24759,0.59262,1.00038,0.32125,0.53189,0,0,0,0,0,0,0,0,0,1.47358,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13687,1.10816,0.10355,0,0.09516,0.11547,0,0,0,0,0,0,0,0,0,0.00333,0,0.00818,0.00312,0.03572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0.08991,0.1069,0.06464,0.01602,0.04496,0.04451,0.22633,0.03251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65159,1.15113,0.00626,0.27466,1.73373,0.01036,0,0.77561,1.61121,5.6024,0.66308,2.40029,0,0.01746,0.00979,1.01591,3.42064,0.7251,0.19698,1.95572,9.18309,24.57321,7.55034,0.03136,0.16169,0.0301,0,2.63237,4.94891,0,0,0,0,0,0,0.12864,0,0,0,0,0,0,0,7.08048,49.02323,14.99667,26.78486,2.26762,35.69096,16.46984,38.32051,0,0,0,0,0,0,0,0,0,0,0,0.52144,10.08782,13.46265,0,0.42062,0,0,0,7.25869,1.56855,0,0,0,0.0182,0,0,0,0.02476
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",2.12901,2.27915,1.67216,2.80032,1.61313,2.18737,0.21532,6.24962,6.24811,2.53218,1.35343,2.59077,1.14834,0.95255,1.79923,1.4163,0.66803,1.14698,0.58313,0.44841,0,0,0,0,0,0,0,0,0.04936,0,0.00157,0.00269,36.43878,2.31689,2.68743,1.33365,7.46202,9.36488,1.81573,4.40641,1.29954,3.49508,3.04978,4.24024,3.15505,1.26815,0,1.64332,1.7765,1.46957,0.76807,0.0042,1.71434,0.15733,0.08493,0.59892,2.01837,3.32896,2.59211,1.91514,2.66529,1.87063,2.96686,0.15337,2.3139,1.90883,4.68452,2.44417,1.06305,1.08654,1.55362,0.97367,2.13059,1.24386,0.6611,0.94881,1.46403,0.42664,2.089,1.57823,1.70001,0.15093,0.77392,1.88319,0.59263,1.06246,1.23897,2.45481,0.92806,0.013,0,0,0,0,5.48583,1.07335,1.93399,2.05168,2.14367,4.49116,2.71993,1.16389,1.79035,3.13402,2.95126,1.84947,4.93523,1.81204,2.81846,4.09117,0,0.78707,0.44296,0,0,0,0,3.33079,0.729,0.43376,1.96332,0.5739,1.31517,1.04322,0.9692,0.51791,1.19791,0.25683,0.04861,0.60085,0.20249,0.51834,0.50142,0.27167,0.88869,0.85342,0.47527,0.17408,0.40376,0.49797,0.79418,0.90518,0,0.59785,0,0,0,0,0,1.30295,0.28041,0.9902,0.24779,0.21543,1.34821,0.51936,0.68791,0.66623,0.53416,0.36716,0.50467,0.43986,0.35262,0.88667,0.45072,0.18257,0.42445,0.46431,0.63769,0,0,0,0,0,0,0,0,0.01841,0,0.47997,0.14415,0.19873,0.21612,1.2909,0.41583,0.05119,3.83839,0.11068,2.03769,2.27813,0.35554,0.24533,0.72495,0.95966,0.23418,0.43476,0.8215,0.62609,0.10209,0.10336,0.13443,0.03026,0.22522,0.85354,0.41105,1.00711,0.40303,0.40862,0,0,0,0,0,0.19303,0.93988,0.1713,0.02729,6.68628,6.7172,0.00748,11.65802,2.8521,0,2.80928,4.38584,5.90252,0,7.56722,0.20453,6.03761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23536,0,0.02611,0,0.18882,0.13474,0.13201,0.00137,0.15195,0,0.07886,0.01191,0,2.34503,0.09227,0.08934
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",2.08169,4.04947,3.65715,1.50668,3.23091,3.88373,11.58449,0.4846,0.5033,0.85479,1.32691,4.65533,0.00251,0,0,0,0.95893,1.5018,0,0.03408,0,0,0,0,0,0,0,0,0.02767,0,8e-04,3e-04,0,2.75518,5.80847,4.77531,0,0,1.11121,0.00174,0.00128,0.00237,6.43566,1.44738,0.49442,3.08306,0,0.05199,0.40516,0.65722,0.22728,0,0.32791,0.08261,0,0,1.20769,1.39677,11.09027,2.29172,3.59936,3.91917,2.77668,0.13873,2.01415,14.07817,2.66657,2.04277,0.39977,0.26338,0.83325,0.13653,0.21273,3.02775,0.02753,0.42696,0.48524,0.44939,4.49118,6.54475,9.654,1.01975,1.48004,1.63346,2.34488,1.21399,2.41301,1.34388,1.87615,8.28768,0,22.54974,1.23213,3.12019,0.81367,3.90152,15.07158,2.57312,7.39753,12.96,15.38063,0.70092,12.72824,9.10649,9.6832,12.35764,9.36687,14.10786,10.8124,5.22696,0,0,0,0,0,0,0,0,1.14595,0.92953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61715,0.88109,0.86497,2.22169,0.52884,3.27625,3.7766,0,6.47675,0,0,0,0,0,0,0,0,0,0,0,0,0.75388,0.45619,0.32621,1.07756,1.45613,1.33881,0.97949,3.10298,0.96023,0.6446,12.93614,5.29796,0.96394,0,0,0,0,0,0,0,0,0,0,0.84203,0,2.61715,0.6015,2.47184,0.02685,0.02512,1.55066,0.24428,2.04919,0.38039,0.0171,0.71857,0.00212,0,0.2628,0.4527,1.57226,0.53049,0.13564,0.30825,0.42764,0.14502,0.06728,0.05823,0.13145,0.20631,0.02478,0.20978,0,0,0,0,0,4.17338,1.72038,0.24419,0.13456,0.01185,0.02366,0.04078,0,0.28453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08047,0.07379,0,0,0.19069,0.25123,0,2.72669,0.32661,0.24194
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",2.0679,0.83584,0.78337,1.80662,2.84109,2.51383,0.01392,3.70112,4.68441,1.85049,1.71816,2.06696,0,3.4132,1.95912,0.44375,0.20435,0.17782,0.29137,0.23365,1.46276,4.1331,0.95236,1.4795,4.52338,12.90468,1.99517,8.73478,5.20568,1.90941,2.79834,1.78114,0.99854,0.08082,0.11051,0.0809,0.72789,0.53337,0.49776,0.31776,0.24238,0.24183,0.24323,0.01358,0.04579,0.13448,0,0.26673,0.04375,0.04221,0.03501,0.0638,0.02204,0.00962,0.01583,0.04533,0.59397,0.26313,0.34878,0.1488,0.74059,0.31838,0.83164,0.03749,0.07366,0.06819,0.17335,0.26889,0.56867,0.08232,0.05511,0.08915,0.58015,0.35435,0.13806,0.23675,0.49409,0.92246,0.47873,1.30577,1.03256,0.06199,0.17758,0.27344,0.17763,0.77189,0.28144,0.89384,0.09612,1.8413,0.00037,0,0.43424,0.87493,1.8695,1.86271,1.39429,3.76961,1.02745,0.6068,0.59955,1.10755,0.35321,0.33786,0.66075,0.74018,1.0664,0.29862,0.31456,0.81475,0,0.00146,2.642,0,0,13.76732,0,20.63375,6.32418,0.92217,3.79167,4.01546,3.96417,5.01738,9.42412,1.7787,7.9354,0.05237,0.09462,0.09924,0.10989,0.06508,0.02566,0.0844,0.08473,1.78737,1.3034,0.54979,1.0412,0.85735,1.07352,0.2115,0,0.46215,0,0,0,0,0,0.11398,0.15259,0.37809,0.12189,0.15284,0.52574,0.21274,0.0893,0.10011,0.05667,0.05649,0.19758,0.08597,0.17132,0.16803,0.13062,0.10557,0.52361,0.61449,0.17781,0,0,0,0,0,0,0,0,0,0,0.15698,0.07795,0.10368,0.12525,0.28212,0.30339,0.07372,0.72506,0.25621,0.63582,0.08356,0.07709,0.38976,0.10514,0.11198,0.01717,0.13419,0.03481,0.0115,0,0.00192,0.00336,0,0,0.10569,0.00358,0.01029,0.01037,0.00381,0,0,0,0,1.72883,0.18868,0,0.11375,0.01322,3.3141,2.26617,0,3.21955,1.0334,0,3.3176,6.55548,5.27551,0,4.56349,0.04827,3.03004,1.33399,18.4765,18.04376,22.94828,0.28748,21.59601,0,0,0,0,0,0,0,0,0,0.56123,0,0.03202,0.1652,0.01124,0,0.17682,0,0.00629,0,0,0.30116,0.00198,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii",1.82093,1.13069,2.67316,0.5105,2.41821,1.81587,0.87626,1.47165,0.18447,0.80699,1.63908,2.36303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8396,5.35891,1.05755,2.6618,4.18229,2.61644,8.61069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
